0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,labels
77,85,75,65,68,68,73,77,46,83,65,82,87,65,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,69,66,69,75,65,46,83,85,76,84,65,78,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,75,73,66,46,85,68,68,73,78,46,65,72,77,65,68,46,46,46,46,46,46,46,46,46,46,46,46,46,1
75,72,65,68,73,74,65,46,65,75,84,72,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
82,69,90,85,65,78,85,76,46,73,83,76,65,77,46,75,72,65,78,46,82,69,90,85,65,78,46,46,46,46,1
77,89,77,85,78,65,46,65,75,84,72,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
46,72,65,83,65,78,46,46,86,73,75,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,68,73,89,46,79,82,84,72,79,46,80,79,73,78,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,46,77,79,78,73,82,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,1
75,65,85,83,72,73,75,46,65,72,77,69,68,46,82,69,90,65,46,46,46,46,46,46,46,46,46,46,46,46,1
84,69,72,83,73,78,65,46,65,76,86,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
69,86,65,46,65,70,82,79,90,69,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
70,65,89,82,85,90,46,77,65,89,83,72,65,46,69,83,72,65,46,46,46,46,46,46,46,46,46,46,46,46,0
83,79,74,73,66,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,65,72,74,65,66,69,69,78,46,81,85,65,68,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
70,65,82,90,69,46,65,78,46,73,83,76,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,72,65,82,77,73,78,46,73,81,66,65,76,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,82,83,46,46,72,79,81,85,69,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
84,65,72,77,73,78,65,46,72,79,81,85,69,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
90,65,72,73,68,85,76,46,73,83,76,65,77,46,82,73,80,79,78,46,46,46,46,46,46,46,46,46,46,46,1
83,72,65,75,73,76,46,83,72,69,75,72,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,81,85,65,82,69,80,69,83,84,66,68,46,83,81,85,65,82,69,46,46,46,46,46,46,46,46,46,46,46,1
77,65,73,83,72,65,46,46,65,90,73,90,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,82,83,46,46,66,73,76,75,73,83,46,65,78,87,65,82,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,72,69,85,76,89,46,65,75,84,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
82,65,78,65,46,83,65,82,68,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,79,72,65,77,77,65,68,46,82,65,78,65,46,65,72,77,77,69,68,46,46,46,46,46,46,46,46,46,46,1
78,65,70,73,90,46,73,77,84,73,65,90,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
73,78,70,79,84,69,67,72,46,73,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,73,83,83,46,46,73,83,82,65,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,68,46,82,65,83,83,69,76,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,65,66,82,73,78,65,46,89,85,83,85,70,46,74,72,85,77,65,46,46,46,46,46,46,46,46,46,46,46,0
84,65,78,86,73,82,46,75,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
75,73,83,72,79,82,46,75,85,77,65,82,46,74,79,89,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,83,65,76,77,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,70,65,89,83,65,76,46,77,73,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,82,73,70,65,46,83,85,76,84,65,78,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,68,46,46,73,83,84,73,65,75,46,83,65,82,87,65,82,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,72,85,66,79,46,75,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,82,46,46,77,65,83,85,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
84,65,82,85,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
90,73,65,46,83,73,75,68,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
84,65,66,65,83,83,85,77,46,84,65,78,74,73,76,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,79,72,65,77,77,65,68,46,83,72,65,75,73,76,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
72,65,86,73,66,85,76,46,72,65,81,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,65,90,72,65,82,46,85,76,76,65,72,46,83,72,65,89,65,78,46,46,46,46,46,46,46,46,46,1
77,69,77,79,83,72,65,46,65,75,84,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,82,74,65,78,65,46,89,69,83,77,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,85,72,65,77,77,65,68,46,74,79,89,78,65,76,46,65,66,69,68,73,78,46,46,46,46,46,46,46,46,1
87,65,72,73,68,46,77,65,72,77,85,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,65,66,69,89,65,46,82,85,66,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
68,69,76,73,83,72,65,46,46,73,83,76,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,65,83,85,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
90,65,77,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
90,65,78,78,65,84,85,76,46,70,69,82,68,79,85,83,46,66,82,73,83,72,84,73,46,46,46,46,46,46,0
82,65,78,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,65,83,72,77,73,78,46,82,65,72,77,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
69,77,82,85,76,46,72,65,83,65,78,46,85,68,79,89,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,79,78,73,65,46,66,65,82,65,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,68,46,77,65,83,72,85,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,82,83,46,46,84,65,83,66,73,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
65,78,75,72,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
70,65,72,77,73,68,65,46,75,65,82,73,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,68,46,46,77,69,74,65,78,85,82,46,82,65,72,77,65,78,46,46,46,46,46,46,46,46,46,46,46,46,1
83,89,69,68,46,78,69,72,65,76,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
70,65,82,72,65,78,65,46,75,72,65,78,79,77,46,46,77,65,82,73,65,46,46,46,46,46,46,46,46,46,0
84,65,83,72,75,73,78,46,87,65,68,85,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,72,65,72,82,85,75,72,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
74,65,72,82,65,46,74,79,78,65,75,89,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
65,83,72,73,75,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
78,69,69,68,83,74,65,82,66,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,78,73,75,46,75,46,46,71,85,80,84,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,65,77,73,82,65,46,46,78,79,79,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
75,72,65,68,73,74,65,46,70,65,82,65,74,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,82,73,70,85,76,46,72,79,81,85,69,46,83,65,77,65,68,46,46,46,46,46,46,46,46,46,46,46,46,1
77,65,83,72,65,68,65,46,65,76,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
