SBU_id,master_category_id,service_category_id,loc_id,media_id,sp_id,lft_platform,placed_orders,taken_orders,complains,avg_csat,csat_number,lft_reschedules_customer,lft_customer_gmv,create_hr_day,schedule_hr_day,gap_hr_create_schedule,sp_change,reschedule_counter,schedule_due_counter,if_promo_used,if_completed
1,1,14,11.0,8.0,277,368,4,4,0,5.0,3,4,8810.00,18,22,27,0,1,0,1,1
4,183,200,8.0,9.0,1451,322,14,10,0,5.0,7,13,20850.00,9,17,55,0,1,0,0,1
8,455,461,6.0,2.0,17291,118,13,1,0,5.0,1,23,7500.00,16,14,525,1,5,0,0,0
7,184,692,11.0,8.0,69231,784,24,16,1,4.6,15,30,39444.00,11,17,5,0,1,0,0,1
4,183,571,11.0,9.0,1738,7,4,3,0,5.0,3,2,2340.00,12,15,2,1,1,0,0,0
3,221,222,44.0,8.0,233,13,4,2,0,4.0,1,2,8990.00,0,22,141,0,1,0,0,1
4,183,167,20.0,8.0,3129,1,2,1,0,5.0,1,8,1100.00,17,12,90,1,1,0,0,0
1,225,21,4.0,12.0,2793,967,17,13,0,5.0,1,23,6649.00,16,14,45,0,1,1,1,0
1,1,618,2.0,12.0,1376,865,16,7,1,4.666666666666667,3,20,5614.00,12,19,6,1,0,0,0,0
5,186,207,12.0,8.0,79531,617,22,13,2,4.285714285714286,7,34,10488.57,21,12,14,0,1,1,0,1
8,455,456,49.0,9.0,17256,803,27,7,2,5.0,3,62,3280.00,13,14,384,0,6,0,0,0
4,183,200,6.0,8.0,1451,12,3,3,0,5.0,1,4,4450.00,20,20,47,0,2,1,0,1
5,186,69,11.0,8.0,751,798,192,187,1,5.0,183,1,14390.00,21,9,11,0,0,0,0,1
1,1,14,5.0,2.0,595,490,14,8,1,5.0,1,15,43250.00,10,19,8,0,1,0,0,1
3,224,577,44.0,8.0,2478,472,24,9,5,3.0,6,23,7262.00,10,16,5,0,0,1,0,0
5,186,207,4.0,8.0,133795,1123,56,37,8,4.625,32,98,10915.00,23,9,33,0,0,0,1,0
7,184,584,18.0,12.0,65288,116,16,9,1,4.875,8,28,5609.00,19,14,42,0,1,1,0,0
6,185,247,18.0,12.0,2336,80,7,5,1,5.0,3,7,1300.00,17,14,44,1,3,0,0,0
7,184,72,12.0,11.0,2345,1147,108,106,2,4.428571428571429,7,27,22687.50,14,17,170,0,0,0,0,1
4,183,647,4.0,2.0,67189,812,10,6,0,5.0,4,17,3250.00,19,15,283,1,1,1,1,0
1,225,21,12.0,9.0,649,0,1,1,0,5.0,1,1,199.00,12,18,5,0,1,1,0,1
6,185,488,4.0,6.0,99658,1089,79,64,5,4.857142857142857,42,87,17692.00,15,10,186,0,0,1,0,1
5,186,207,11.0,9.0,448,241,96,80,5,3.9375,48,52,39200.00,9,9,23,1,0,0,1,0
4,183,200,17.0,8.0,73618,855,6,4,0,5.0,1,3,4550.00,11,17,5,0,0,0,0,1
1,1,15,6.0,8.0,2526,47,4,4,0,5.0,4,4,2799.00,13,19,5,0,2,0,1,1
5,186,207,47.0,8.0,3015,305,11,10,1,5.0,8,9,15212.64,9,15,5,0,0,1,0,0
1,1,13,11.0,8.0,3964,734,21,15,2,4.25,12,34,10878.00,7,9,49,0,3,0,1,1
5,186,207,12.0,8.0,3015,515,16,9,1,3.6666666666666665,6,32,31960.48,11,14,2,0,0,1,0,0
5,186,65,8.0,2.0,73742,391,11,7,0,5.0,2,13,6749.00,15,18,26,0,1,0,0,1
1,1,14,12.0,8.0,3836,655,15,10,1,4.6,5,16,9563.00,22,14,87,0,0,0,0,1
6,185,488,4.0,6.0,118931,902,54,48,2,3.75,4,60,21842.00,15,9,113,0,0,1,0,1
8,455,456,45.0,11.0,73725,4,2,1,0,5.0,1,3,300.00,18,13,42,0,1,0,0,1
4,183,200,12.0,9.0,1738,4,4,3,0,5.0,1,1,4650.00,4,15,58,0,0,0,0,0
8,455,457,11.0,8.0,17256,896,94,85,2,4.884615384615385,26,23,25990.00,9,11,265,1,2,0,0,0
4,544,546,12.0,8.0,1809,680,66,40,4,4.785714285714286,28,118,51183.20,16,13,212,1,2,0,1,0
1,1,14,1.0,11.0,99688,4,7,4,0,1.0,1,6,5800.00,9,20,10,0,1,1,0,0
